Data,Ibovespa,MAD,MinMax,MADD,DMinMax
JAN 21,-0.0332,-0.0547054239776175,-0.066885942182728,-0.0229349908134221,-0.0249950082865114
FEV 21,-0.0437,-0.0822598311884296,-0.0895000731545753,-0.0303157757949148,-0.031168871105318
MAR 21,0.06,0.102297561014845,0.114456786405805,0.0726785824578673,0.0785781340868032
ABR 21,0.0194,-0.0120045049180359,-0.0297913001969533,0.0344783378846815,0.0321306095678229
MAI 21,0.0616,0.0906222283488861,0.0897787459453025,0.0678222454076623,0.0708426343049084
JUN 21,0.0046,0.0056446186950203,-0.0133078517067114,0.0156058912530248,0.0128043540128566
JUL 21,-0.0394,-0.062886019908559,-0.0587221658237771,-0.0608050677204085,-0.0617987218597132
AGO 21,-0.0248,-0.0434466543226067,-0.0447258516530363,-0.0594726981492035,-0.0611819510775594
SET 21,-0.0657,-0.0776003868193833,-0.08311109709079,-0.0957124589944244,-0.0968962754395445
OUT 21,-0.0674,-0.0391592044158177,-0.0433577205515316,-0.0458464105859694,-0.046063252557425
NOV 21,-0.0153,0.00350249056322442,-0.00670565326383061,-0.00899353412444514,-0.00701812917207419
DEZ 21,0.0285,-0.00289220978969135,-0.0176600323402173,0.0440705995528194,0.0428321627045246
