data,maxima,minima,abertura,fechamento,variacao
2019-01-01,94.01000213623047,85.01000213623047,85.01000213623047,94.01000213623047,0.10586989499867668
2019-02-01,94.01000213623047,82.0199966430664,94.01000213623047,93.5,-0.0054249773922079225
2019-03-01,93.5,93.5,93.5,93.5,0.0
2019-04-01,93.5,93.5,93.5,93.5,0.0
2019-05-01,93.5,93.5,93.5,93.5,0.0
2019-06-01,93.5,93.5,93.5,93.5,0.0
2019-07-01,94.5,91.0,93.5,94.5,0.0106951871657754
2019-08-01,100.0,95.0,95.0,100.0,0.05263157894736842
2019-09-01,100.0,90.0,100.0,90.0,-0.1
2019-10-01,90.0,81.5,90.0,81.5,-0.09444444444444444
2019-11-01,90.0,81.5,81.5,86.0,0.05521472392638037
2019-12-01,89.98999786376953,79.0,86.0,88.87999725341797,0.033488340156022894
