data,maxima,minima,abertura,fechamento,variacao
2021-03-29,117088,114991,116644,115253,-0.011925174033812283
2021-04-05,118850,115262,115262,117670,0.020891534070205272
2021-04-12,121409,117661,117661,121114,0.029347022377848225
2021-04-19,121974,119203,121116,120530,-0.004838336801083259
2021-04-26,121498,118894,120534,118894,-0.013606119435180116
2021-05-03,122038,117631,118951,122038,0.025951862531630673
2021-05-10,122964,119458,122038,121881,-0.0012864845376030416
2021-05-17,123544,121595,121880,122592,0.005841811617984903
2021-05-24,125698,122526,122592,125561,0.024218546071521796
2021-05-31,129601,125540,125561,129601,0.03217559592548642
