data,maxima,minima,abertura,fechamento_adj,variacao
2021-01-01,125324,114887,119024,116007,-0.02534782900927544
2021-02-01,121117,109827,115093,110035,-0.04394706889211333
2021-03-01,117249,107319,110036,116634,0.05996219419099204
2021-04-01,121974,114991,116644,118894,0.019289461952607934
2021-05-01,126216,117631,118951,126216,0.061075568931745004
2021-06-01,131190,126184,126218,126802,0.004626915336956694
2021-07-01,129620,121748,126802,121801,-0.039439441018280466
2021-08-01,124536,114801,121803,118781,-0.024810554748241013
2021-09-01,119942,107520,118793,110979,-0.06577828659937875
2021-10-01,114927,102854,110980,103501,-0.06739052081456118
2021-11-01,108669,100075,103514,101915,-0.015447185887899222
2021-12-01,109493,100727,101916,104822,0.02851367793084501
2022-01-01,113057,100850,104823,112388,0.07216927582687006
