data,maxima,minima,abertura,fechamento_adj,variacao
2022-01-01,113057,100850,104823,112388,0.07216927582687006
2022-02-01,115734,109125,112143,113142,0.008908268906663814
2022-03-01,120900,107781,113143,119999,0.060595883086006205
2022-04-01,121628,107876,120001,107876,-0.1010408246597945
2022-05-01,112690,102386,107876,111351,0.03221291112017501
2022-06-01,112709,97758,111351,98542,-0.11503264452048029
2022-07-01,103989,95267,98542,103165,0.046914006210549815
2022-08-01,114375,101694,103165,109523,0.061629428585276015
2022-09-01,114392,106244,109524,110037,0.0046839048975567
2022-10-01,118382,110048,110048,114300,0.03863768537365513
