,datas,variacao_carteira,variacao_benchmark
0,2021-01-01,0.0574958817057765,0.024633687323565
1,2021-01-08,-0.0323550156758682,0.0089388578852329
2,2021-01-15,-0.0518024396782633,-0.0407298820785279
3,2021-01-22,0.0288970943875988,0.0084179921905373
4,2021-01-29,0.0216990847346213,0.0032049125168236
5,2021-02-05,-0.024932008926868,-0.0002180092402377
6,2021-02-12,0.0151220189932315,-0.0013411567476948
7,2021-02-19,-0.0921278107892749,-0.0582471329457461
8,2021-02-26,-0.0173771547929122,-0.0064136825227151
0,2021-03-29,-0.0328753744262363,-0.0119251740338122
1,2021-04-05,-0.0114702709082152,0.0208915340702052
2,2021-04-12,0.0257695726799909,0.0293470223778482
3,2021-04-19,-0.0190084635047667,-0.0048383368010832
4,2021-04-26,-0.0173320955773162,-0.0136061194351801
5,2021-05-03,0.008422381545652,0.0259518625316306
6,2021-05-10,0.0297208456910597,-0.001286484537603
7,2021-05-17,0.0049614821862215,0.0058418116179849
8,2021-05-24,0.0096485712540333,0.0242185460715218
9,2021-05-31,0.0334975131252932,0.0321755959254864
0,2021-06-28,-0.0013784788515706,0.0064667749720035
1,2021-07-05,-0.017559987742826,-0.0171913933334378
2,2021-07-12,-0.009564319488983,0.0042414771821283
3,2021-07-19,0.0127527063893051,-0.0071849346607599
4,2021-07-26,-0.016913581626256,-0.0260439156231508
5,2021-08-02,-0.0024752376978151,0.008267448256611
6,2021-08-09,-0.0010486156321932,-0.0131505019990391
7,2021-08-16,-0.0618064369023728,-0.0258930118573161
8,2021-08-23,0.0296191510048481,0.0222357754567863
9,2021-08-30,-0.0310552588753377,-0.0331463327726078
0,2021-09-27,0.0194458578457277,0.0173004144890971
1,2021-10-04,-0.0066189629713418,-0.000593445527015
2,2021-10-11,0.0159087730429902,0.0160767144654979
3,2021-10-18,-0.038293431170148,-0.0728409814473994
4,2021-10-25,-0.0416483386906326,-0.0263128186795612
5,2021-11-01,-0.0221906496570299,0.0126552930038448
6,2021-11-08,0.0487349352712454,0.014195222468137
7,2021-11-15,-0.0191432939543822,-0.031043108636774
8,2021-11-22,-0.0022104870811066,-0.0078807407119841
9,2021-11-29,0.0028698155835789,0.0219022371780449
