,datas,variacao_carteira,variacao_benchmark
0,2021-01-01,0.0837737776520663,0.024633687323565
1,2021-01-08,-0.0269902045047521,0.0089388578852329
2,2021-01-15,-0.0490413085781623,-0.0407298820785279
3,2021-01-22,0.0096504656015574,0.0084179921905373
4,2021-01-29,-0.0062153769984691,0.0032049125168236
5,2021-02-05,-0.0034890818621495,-0.0002180092402377
6,2021-02-12,0.0173985868824632,-0.0013411567476948
7,2021-02-19,-0.0430467965198166,-0.0582471329457461
8,2021-02-26,0.0135638147785842,-0.0064136825227151
0,2021-03-29,-0.0321811966891758,-0.0119251740338122
1,2021-04-05,-0.0121168630515479,0.0208915340702052
2,2021-04-12,0.0342341130799852,0.0293470223778482
3,2021-04-19,-0.0163702357465546,-0.0048383368010832
4,2021-04-26,-0.0138814519675907,-0.0136061194351801
5,2021-05-03,0.007872361917104,0.0259518625316306
6,2021-05-10,0.0310454678939707,-0.001286484537603
7,2021-05-17,0.0041013443780598,0.0058418116179849
8,2021-05-24,0.0067735135240713,0.0242185460715218
9,2021-05-31,0.0430922207076515,0.0321755959254864
0,2021-06-28,-0.0017706349115739,0.0064667749720035
1,2021-07-05,-0.0091893619360036,-0.0171913933334378
2,2021-07-12,0.0011803272355831,0.0042414771821283
3,2021-07-19,0.0085574851879374,-0.0071849346607599
4,2021-07-26,-0.0330661923876654,-0.0260439156231508
5,2021-08-02,-0.0043482599807858,0.008267448256611
6,2021-08-09,-0.0274966561890255,-0.0131505019990391
7,2021-08-16,-0.0488139937246902,-0.0258930118573161
8,2021-08-23,0.0131761356436055,0.0222357754567863
9,2021-08-30,-0.0133922554322334,-0.0331463327726078
0,2021-09-27,0.0253518549997623,0.0173004144890971
1,2021-10-04,-0.0120732987796643,-0.000593445527015
2,2021-10-11,0.026220586135999,0.0160767144654979
3,2021-10-18,-0.0432988275022413,-0.0728409814473994
4,2021-10-25,-0.0424992747444244,-0.0263128186795612
5,2021-11-01,-0.0098502352683909,0.0126552930038448
6,2021-11-08,0.0519611502692906,0.014195222468137
7,2021-11-15,-0.0257208297235593,-0.031043108636774
8,2021-11-22,-0.008511796815341,-0.0078807407119841
9,2021-11-29,-0.0122046326063773,0.0219022371780449
