,datas,variacao_carteira,variacao_benchmark
0,2021-01-01,0.0304800524820804,0.024633687323565
1,2021-01-08,-0.0151013622650896,0.0089388578852329
2,2021-01-15,-0.0612113864949249,-0.0407298820785279
3,2021-01-22,0.0143628249660811,0.0084179921905373
4,2021-01-29,0.0017803050868108,0.0032049125168236
5,2021-02-05,-0.0261450815392462,-0.0002180092402377
6,2021-02-12,0.002170649511436,-0.0013411567476948
7,2021-02-19,-0.0588385579733085,-0.0582471329457461
8,2021-02-26,-0.0240554661612214,-0.0064136825227151
0,2021-03-29,-0.0249411761874872,-0.0119251740338122
1,2021-04-05,-0.0225300475643044,0.0208915340702052
2,2021-04-12,-0.0058930970945583,0.0293470223778482
3,2021-04-19,0.0131042688291061,-0.0048383368010832
4,2021-04-26,-0.0076575016680056,-0.0136061194351801
5,2021-05-03,0.0128563333003447,0.0259518625316306
6,2021-05-10,0.0549543394674915,-0.001286484537603
7,2021-05-17,0.0006207732162014,0.0058418116179849
8,2021-05-24,0.017021317336966,0.0242185460715218
9,2021-05-31,0.0471656002391122,0.0321755959254864
0,2021-06-28,-0.0089231154755266,0.0064667749720035
1,2021-07-05,-0.0237770912137273,-0.0171913933334378
2,2021-07-12,0.0017467562277368,0.0042414771821283
3,2021-07-19,0.0091781692290685,-0.0071849346607599
4,2021-07-26,-0.0193342415657796,-0.0260439156231508
5,2021-08-02,0.0127276599372671,0.008267448256611
6,2021-08-09,-0.023260411058499,-0.0131505019990391
7,2021-08-16,-0.0397639642876183,-0.0258930118573161
8,2021-08-23,0.0139351416167348,0.0222357754567863
9,2021-08-30,-0.020393704143201,-0.0331463327726078
0,2021-09-27,0.0300134502404358,0.0173004144890971
1,2021-10-04,0.0153749129244763,-0.000593445527015
2,2021-10-11,0.0209881600722818,0.0160767144654979
3,2021-10-18,-0.0620279609281077,-0.0728409814473994
4,2021-10-25,-0.0376617005825022,-0.0263128186795612
5,2021-11-01,-0.0344967186089751,0.0126552930038448
6,2021-11-08,0.0529943379824845,0.014195222468137
7,2021-11-15,-0.038717239117292,-0.031043108636774
8,2021-11-22,0.0311721601268876,-0.0078807407119841
9,2021-11-29,-0.028582289628665,0.0219022371780449
