datas,variacao_carteira,variacao_benchmark
jan21,-0.05850441318150445,-0.02534782900927544
fev21,-0.08609210374708942,-0.04394706889211333
mar21,0.07461415078058241,0.05996219419099204
abr21,-0.023135733052110467,0.01928946195260793
mai21,0.06716488479784471,0.06107556893174501
jun21,-0.02984666732334105,0.004626915336956694
jul21,-0.06874262605514285,-0.03943944101828047
ago21,-0.06945495987026898,-0.024810554748241013
set21,-0.10643635967534341,-0.06577828659937875
out21,-0.05243940177155679,-0.06739052081456118
nov21,-0.027088677883798293,-0.015447185887899222
dez21,-0.01996359949074335,0.028513677930845013
