datas,variacao_carteira,variacao_benchmark
jan21,-0.05760008620966469,-0.016350776467333034
fev21,-0.07409006583548772,-0.08429074990550364
mar21,0.07936495812871146,-0.2996355265681949
abr21,-0.01445773290552449,0.10265576419991508
mai21,0.06716528187088,0.08573806536564763
jun21,-0.033981520388349805,0.08765947708678987
jul21,-0.06482583383574587,0.08257768614167596
ago21,-0.07311619693419963,-0.03443685443044125
set21,-0.11679366678804896,-0.04808717876476626
out21,-0.054557711134842965,-0.006891886178174284
nov21,-0.028651919018406326,0.1587774561552869
dez21,-0.014228214954962369,0.09558573698081674
