"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 22","11,74","12,77","12,99","11,32","27,01M","-8,07%"
"Mai 22","12,77","13,24","13,53","11,18","1,01B","-3,98%"
"Abr 22","13,30","15,79","16,33","13,27","783,98M","-15,34%"
"Mar 22","15,71","14,32","15,82","12,64","921,84M","7,75%"
"Fev 22","14,58","14,62","15,13","13,35","685,09M","-0,27%"
"Jan 22","14,62","11,19","14,81","10,58","1,13B","31,24%"
"Dez 21","11,14","11,15","12,46","10,85","708,29M","0,27%"
"Nov 21","11,11","11,95","13,39","10,96","743,77M","-6,72%"
"Out 21","11,91","12,81","13,39","11,72","1,15B","-6,51%"
"Set 21","12,74","13,99","14,33","12,56","1,06B","-9,45%"
"Ago 21","14,07","15,50","16,28","13,40","812,80M","-7,74%"
"Jul 21","15,25","16,70","17,25","15,25","668,78M","-9,33%"
"Jun 21","16,82","17,48","17,73","15,51","1,26B","-4,10%"
"Mai 21","17,54","17,34","18,02","16,71","777,21M","2,15%"
"Abr 21","17,17","18,33","18,93","17,13","668,09M","-5,71%"
"Mar 21","18,21","17,95","18,76","16,88","1,28B","2,71%"
"Fev 21","17,73","19,73","20,93","17,61","813,79M","-9,22%"
"Jan 21","19,53","20,29","20,85","18,55","654,82M","-2,64%"
"Dez 20","20,06","18,38","20,12","17,75","701,29M","10,40%"
"Nov 20","18,17","16,76","18,87","16,36","943,14M","9,99%"
"Out 20","16,52","17,91","18,93","16,30","770,85M","-7,19%"
"Set 20","17,80","18,95","19,37","17,26","794,82M","-5,17%"
"Ago 20","18,77","20,27","20,75","18,24","769,11M","-7,31%"
"Jul 20","20,25","17,71","22,27","17,61","714,30M","15,45%"
"Jun 20","17,54","14,27","17,82","14,27","764,38M","20,97%"
"Mai 20","14,50","12,06","15,28","11,26","852,04M","18,56%"
"Abr 20","12,23","10,99","13,77","10,56","943,08M","7,00%"
"Mar 20","11,43","14,94","15,85","9,17","1,71B","-24,00%"
"Fev 20","15,04","15,19","16,77","14,02","640,95M","-0,40%"
"Jan 20","15,10","13,53","15,50","13,45","898,15M","13,11%"
"Dez 19","13,35","14,87","15,36","13,31","771,50M","-9,92%"
"Nov 19","14,82","15,07","15,66","14,23","502,20M","-1,40%"
"Out 19","15,03","13,63","15,17","13,20","482,44M","10,92%"
"Set 19","13,55","13,73","14,30","13,14","522,57M","-1,95%"
"Ago 19","13,82","13,10","14,43","12,73","769,80M","6,23%"
"Jul 19","13,01","11,69","13,37","11,50","573,17M","12,93%"
"Jun 19","11,52","11,32","12,22","10,81","764,31M","2,95%"
"Mai 19","11,19","10,48","11,51","9,57","584,22M","6,17%"
"Abr 19","10,54","9,87","10,73","9,24","565,00M","7,22%"
"Mar 19","9,83","9,94","10,62","9,36","561,94M","-1,50%"
