"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 22","18,89","20,50","20,51","18,56","23,41M","-7,85%"
"Mai 22","20,50","17,98","20,68","17,53","959,44M","14,02%"
"Abr 22","17,98","22,34","22,44","17,98","427,61M","-10,90%"
"Mar 22","20,18","18,34","20,65","17,48","1,02B","9,26%"
"Fev 22","18,47","20,64","20,98","17,92","1,06B","-10,64%"
"Jan 22","20,67","17,58","20,85","17,53","1,21B","18,79%"
"Dez 21","17,40","18,07","19,46","17,16","790,10M","-2,25%"
"Nov 21","17,80","18,08","19,22","17,03","1,05B","0,17%"
"Out 21","17,77","18,66","19,52","17,60","955,79M","-4,41%"
"Set 21","18,59","20,75","20,95","17,09","1,20B","-9,93%"
"Ago 21","20,64","21,92","22,38","19,99","940,40M","-4,44%"
"Jul 21","21,60","22,43","23,15","21,17","842,92M","-3,70%"
"Jun 21","22,43","23,28","25,13","22,38","820,58M","-2,77%"
"Mai 21","23,07","21,03","23,23","20,16","918,19M","11,13%"
"Abr 21","20,76","21,26","21,51","19,83","795,58M","-1,94%"
"Mar 21","21,17","18,49","21,73","16,96","1,48B","16,51%"
"Fev 21","18,17","19,86","20,96","18,10","956,55M","-6,87%"
"Jan 21","19,51","21,70","22,41","19,01","1,06B","-8,79%"
"Dez 20","21,39","19,24","21,97","19,19","959,02M","13,47%"
"Nov 20","18,85","15,92","20,14","15,74","1,43B","20,60%"
"Out 20","15,63","15,06","18,22","14,89","1,29B","3,99%"
"Set 20","15,03","16,29","17,38","14,86","1,06B","-6,36%"
"Ago 20","16,05","17,53","17,59","15,69","1,02B","-7,49%"
"Jul 20","17,35","16,08","18,79","16,04","1,31B","8,51%"
"Jun 20","15,99","14,58","18,25","14,50","1,40B","9,37%"
"Mai 20","14,62","14,42","15,85","12,43","1,11B","-0,95%"
"Abr 20","14,76","14,00","17,01","12,77","1,03B","1,51%"
"Mar 20","14,54","21,38","21,75","12,11","1,18B","-31,93%"
"Fev 20","21,36","23,02","24,35","20,78","628,00M","-6,93%"
"Jan 20","22,95","25,48","26,52","22,73","567,52M","-9,04%"
"Dez 19","25,23","22,98","25,57","22,92","499,37M","10,13%"
"Nov 19","22,91","24,33","24,51","22,47","449,47M","-5,06%"
"Out 19","24,13","22,81","25,41","21,15","602,57M","6,91%"
"Set 19","22,57","22,04","23,65","21,24","462,20M","3,01%"
"Ago 19","21,91","23,26","23,55","20,85","607,30M","-4,45%"
"Jul 19","22,93","25,31","26,54","22,78","526,40M","-8,06%"
"Jun 19","24,94","24,50","25,30","23,54","402,08M","2,05%"
"Mai 19","24,44","23,33","24,69","21,40","466,37M","4,04%"
"Abr 19","23,49","24,01","24,28","22,26","410,81M","-0,51%"
"Mar 19","23,61","23,93","25,31","22,00","488,51M","-0,71%"
"Fev 19","23,78","24,86","25,56","23,72","554,57M","-4,38%"
"Jan 19","24,87","21,23","25,24","21,10","522,22M","17,15%"
"Dez 18","21,23","20,99","21,29","19,73","407,46M","2,56%"
"Nov 18","20,70","18,94","21,12","18,67","504,89M","12,20%"
