"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Jun 22","82,58","86,18","90,85","80,10","22,58M","-4,21%"
"Mai 22","86,21","83,16","87,43","74,87","647,78M","3,51%"
"Abr 22","83,29","96,78","98,25","77,54","561,12M","-12,88%"
"Mar 22","95,60","95,31","103,14","87,28","746,34M","3,60%"
"Fev 22","92,28","81,50","94,48","81,37","526,88M","14,11%"
"Jan 22","80,87","79,00","89,00","76,90","517,83M","3,73%"
"Dez 21","77,96","71,30","80,67","69,97","494,44M","11,45%"
"Nov 21","69,95","72,00","72,86","61,85","603,56M","-2,32%"
"Out 21","71,61","76,75","83,10","71,02","525,40M","-6,07%"
"Set 21","76,24","88,20","91,39","73,50","725,81M","-14,71%"
"Ago 21","89,39","100,46","102,59","87,11","514,30M","-9,28%"
"Jul 21","98,53","102,74","106,53","98,53","420,97M","-3,96%"
"Jun 21","102,59","103,94","104,83","93,19","533,96M","0,61%"
"Mai 21","101,97","97,45","107,00","94,19","587,38M","5,29%"
"Abr 21","96,85","87,50","100,34","85,40","453,24M","11,28%"
"Mar 21","87,03","81,61","90,55","80,49","672,16M","8,31%"
"Fev 21","80,35","76,51","84,11","74,39","550,70M","7,48%"
"Jan 21","74,76","75,95","87,85","74,63","647,86M","0,56%"
"Dez 20","74,34","67,86","75,30","65,72","604,78M","12,13%"
"Nov 20","66,30","52,62","67,46","52,04","747,79M","28,81%"
"Out 20","51,47","50,60","54,31","49,32","484,25M","2,43%"
"Set 20","50,25","49,19","51,94","47,59","619,34M","3,18%"
"Ago 20","48,70","50,47","52,12","48,43","710,30M","-1,70%"
"Jul 20","49,54","45,76","51,36","44,10","564,37M","8,57%"
"Jun 20","45,63","43,10","46,47","42,41","542,44M","5,50%"
"Mai 20","43,25","35,66","43,79","35,41","647,36M","18,17%"
"Abr 20","36,60","34,11","38,66","32,44","593,52M","3,77%"
"Mar 20","35,27","36,62","40,06","26,48","1,03B","-2,43%"
"Fev 20","36,15","41,21","44,00","35,25","462,44M","-11,87%"
"Jan 20","41,02","44,04","46,80","40,63","489,83M","-5,68%"
"Dez 19","43,49","39,86","44,06","39,83","346,68M","9,46%"
"Nov 19","39,73","38,00","40,94","37,33","347,21M","5,89%"
"Out 19","37,52","38,04","38,89","35,15","377,57M","-1,16%"
"Set 19","37,96","37,00","39,98","36,04","367,13M","4,80%"
"Ago 19","36,22","39,14","39,22","33,74","500,48M","-8,51%"
"Jul 19","39,59","42,21","43,05","39,12","405,27M","-3,88%"
"Jun 19","41,19","39,23","42,21","38,04","349,66M","5,75%"
"Mai 19","38,95","39,17","40,54","36,42","473,34M","-2,18%"
"Abr 19","39,82","41,61","42,76","39,25","325,85M","-1,63%"
