DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 19,13.35,14.87,15.36,13.31,771.50M,-0.0992
NOV 19,14.82,15.07,15.66,14.23,502.20M,-0.013999999999999999
OUT 19,15.03,13.63,15.17,13.20,482.44M,0.1092
SET 19,13.55,13.73,14.30,13.14,522.57M,-0.0195
AGO 19,13.82,13.10,14.43,12.73,769.80M,0.0623
JUL 19,13.01,11.69,13.37,11.50,573.17M,0.1293
JUN 19,11.52,11.32,12.22,10.81,764.31M,0.029500000000000002
MAI 19,11.19,10.48,11.51,9.57,584.22M,0.0617
ABR 19,10.54,9.87,10.73,9.24,565.00M,0.0722
MAR 19,9.83,9.94,10.62,9.36,561.94M,-0.015
FEV 19,9.98,9.51,10.34,9.28,703.52M,0.0418
JAN 19,9.58,8.17,9.92,8.12,844.13M,0.174
