DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
JUN 21,16.82,17.48,17.73,15.51,1.26B,-0.040999999999999995
MAI 21,17.54,17.34,18.02,16.71,777.21M,0.0215
ABR 21,17.17,18.33,18.93,17.13,668.09M,-0.0571
MAR 21,18.21,17.95,18.76,16.88,1.28B,0.0271
FEV 21,17.73,19.73,20.93,17.61,813.79M,-0.0922
JAN 21,19.53,20.29,20.85,18.55,654.82M,-0.0264
DEZ 20,20.06,18.38,20.12,17.75,701.29M,0.10400000000000001
NOV 20,18.17,16.76,18.87,16.36,943.14M,0.0999
OUT 20,16.52,17.91,18.93,16.30,770.85M,-0.0719
SET 20,17.80,18.95,19.37,17.26,794.82M,-0.051699999999999996
AGO 20,18.77,20.27,20.75,18.24,769.11M,-0.0731
JUL 20,20.25,17.71,22.27,17.61,714.30M,0.1545
JUN 20,17.54,14.27,17.82,14.27,764.38M,0.2097
