DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,21.39,19.24,21.97,19.19,959.02M,0.13470000000000001
NOV 20,18.85,15.92,20.14,15.74,1.43B,0.20600000000000002
OUT 20,15.63,15.06,18.22,14.89,1.29B,0.039900000000000005
SET 20,15.03,16.29,17.38,14.86,1.06B,-0.0636
AGO 20,16.05,17.53,17.59,15.69,1.02B,-0.07490000000000001
JUL 20,17.35,16.08,18.79,16.04,1.31B,0.0851
JUN 20,15.99,14.58,18.25,14.50,1.40B,0.09369999999999999
MAI 20,14.62,14.42,15.85,12.43,1.11B,-0.0095
ABR 20,14.76,14.00,17.01,12.77,1.03B,0.0151
MAR 20,14.54,21.38,21.75,12.11,1.18B,-0.3193
FEV 20,21.36,23.02,24.35,20.78,628.00M,-0.0693
JAN 20,22.95,25.48,26.52,22.73,567.52M,-0.0904
