DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 19,115.645,108.233,117.803,108.191,99.88M,0.06849999999999999
NOV 19,108.233,107.221,109.672,105.261,95.99M,0.0095
OUT 19,107.22,104.745,108.408,99.826,103.19M,0.0236
SET 19,104.745,101.133,106.001,99.406,97.54M,0.035699999999999996
AGO 19,101.135,101.819,104.848,95.855,119.85M,-0.0067
JUL 19,101.812,100.974,106.65,100.073,97.40M,0.0084
JUN 19,100.967,97.036,102.617,95.686,90.98M,0.0406
MAI 19,97.03,96.339,97.992,89.409,101.11M,0.006999999999999999
ABR 19,96.353,95.423,97.61,92.338,93.19M,0.0098
MAR 19,95.415,95.584,100.439,91.584,89.38M,-0.0018
FEV 19,95.584,97.396,98.589,93.424,97.94M,-0.018600000000000002
JAN 19,97.394,87.887,98.405,87.536,109.60M,0.1082
