DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
JAN 22,112.144,104.823,113.057,100.85,258.10M,0.0698
DEZ 21,104.822,101.916,109.493,100.727,234.06M,0.0285
NOV 21,101.916,103.514,108.669,100.075,236.34M,-0.015300000000000001
OUT 21,103.501,110.98,114.927,102.854,243.86M,-0.0674
SET 21,110.979,118.793,119.942,107.52,231.61M,-0.06570000000000001
AGO 21,118.781,121.803,124.536,114.801,201.79M,-0.0248
JUL 21,121.801,126.802,129.62,121.748,161.31M,-0.0394
JUN 21,126.802,126.218,131.19,126.184,197.83M,0.0046
MAI 21,126.216,118.951,126.216,117.631,184.24M,0.0616
ABR 21,118.894,116.645,121.974,114.991,167.26M,0.0194
MAR 21,116.634,110.036,117.249,107.319,246.48M,0.06
FEV 21,110.035,115.093,121.117,109.827,190.63M,-0.0437
JAN 21,115.068,119.024,125.324,114.887,186.73M,-0.0332
DEZ 20,119.017,108.897,120.15,108.897,177.04M,0.09300000000000001
NOV 20,108.893,93.968,111.603,93.968,217.76M,0.159
OUT 20,93.952,94.604,102.218,93.387,198.14M,-0.0069
SET 20,94.603,99.382,103.226,93.408,190.35M,-0.048
AGO 20,99.369,102.913,104.523,98.513,202.70M,-0.0344
JUL 20,102.912,95.062,105.704,95.062,221.52M,0.0827
JUN 20,95.056,87.395,97.694,86.837,232.33M,0.0876
MAI 20,87.403,80.501,88.091,75.697,220.36M,0.0857
ABR 20,80.506,73.011,83.598,67.803,209.52M,0.1025
MAR 20,73.02,104.26,108.804,61.691,270.52M,-0.299
FEV 20,104.172,113.761,117.701,99.951,126.65M,-0.0843
JAN 20,113.761,115.652,119.593,112.826,122.06M,-0.0163
