DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,25.80,23.65,26.46,23.56,588.75M,0.11019999999999999
NOV 20,23.24,19.45,24.56,19.29,973.09M,0.21739999999999998
OUT 20,19.09,18.34,21.39,18.04,765.85M,0.0443
SET 20,18.28,19.40,20.72,18.12,738.81M,-0.0444
AGO 20,19.13,21.96,22.46,19.09,827.94M,-0.1217
JUL 20,21.78,20.73,23.07,20.69,751.01M,0.057300000000000004
JUN 20,20.60,18.48,23.23,18.37,982.84M,0.1052
MAI 20,18.64,17.76,19.75,16.77,850.72M,0.0125
ABR 20,18.41,17.96,20.33,16.18,780.13M,-0.0129
MAR 20,18.65,25.77,26.09,16.16,1.15B,-0.2783
FEV 20,25.84,25.86,27.80,24.68,687.09M,0.0054
JAN 20,25.70,29.20,29.95,25.49,540.12M,-0.1153
