DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 20,28.34,25.40,28.52,25.29,1.13B,0.1382
NOV 20,24.90,19.51,26.67,19.27,1.68B,0.3147
OUT 20,18.94,19.64,21.14,17.74,1.44B,-0.0342
SET 20,19.61,22.20,23.12,19.25,1.24B,-0.1042
AGO 20,21.89,22.54,23.88,21.25,1.16B,-0.013999999999999999
JUL 20,22.20,21.75,23.60,21.52,1.32B,0.0302
JUN 20,21.55,20.15,23.03,19.54,1.68B,0.059500000000000004
MAI 20,20.34,17.43,20.34,16.72,1.63B,0.12689999999999999
ABR 20,18.05,13.45,18.69,13.32,2.40B,0.2902
MAR 20,13.99,25.50,27.48,10.85,2.90B,-0.44789999999999996
FEV 20,25.34,28.52,30.89,24.62,1.10B,-0.1093
JAN 20,28.45,30.51,31.24,27.67,940.87M,-0.057300000000000004
DEZ 19,30.18,29.00,30.92,28.34,854.19M,0.0496
NOV 19,28.75,29.98,30.60,27.54,1.12B,-0.0345
OUT 19,29.78,27.05,29.85,25.43,987.36M,0.10310000000000001
SET 19,27.00,24.88,27.67,24.53,970.87M,0.08039999999999999
AGO 19,24.99,25.57,26.14,23.20,1.18B,-0.0146
JUL 19,25.36,27.07,27.94,25.24,817.83M,-0.048499999999999995
JUN 19,26.65,25.16,27.60,24.85,918.37M,0.0728
MAI 19,24.84,25.96,26.61,23.70,1.05B,-0.054000000000000006
ABR 19,26.26,27.49,28.62,24.73,1.43B,-0.0332
MAR 19,27.16,26.27,28.65,25.38,1.23B,0.037000000000000005
FEV 19,26.19,24.68,26.86,23.75,1.11B,0.0579
JAN 19,24.76,21.83,25.13,21.57,1.35B,0.12789999999999999
