DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
JAN 22,32.35,28.54,34.64,27.72,1.54B,0.1371
DEZ 21,28.45,27.55,30.10,26.20,1.44B,-0.0333
NOV 21,29.43,27.71,29.82,25.72,1.66B,0.08
OUT 21,27.25,27.12,30.22,25.77,1.74B,0.0007000000000000001
SET 21,27.23,27.32,27.89,23.79,1.58B,0.0015
AGO 21,27.19,25.67,28.71,24.34,1.84B,0.0104
JUL 21,26.91,29.74,29.88,25.86,1.21B,-0.08560000000000001
JUN 21,29.43,27.40,29.79,27.01,1.44B,0.0953
MAI 21,26.87,23.80,27.20,22.88,1.58B,0.1376
ABR 21,23.62,23.50,24.89,22.61,1.29B,-0.0199
MAR 21,24.10,22.80,24.23,20.48,2.07B,0.0836
FEV 21,22.24,27.26,30.92,21.40,2.32B,-0.16670000000000001
JAN 21,26.69,28.65,31.76,26.53,1.28B,-0.0582
DEZ 20,28.34,25.40,28.52,25.29,1.13B,0.1382
NOV 20,24.90,19.51,26.67,19.27,1.68B,0.3147
OUT 20,18.94,19.64,21.14,17.74,1.44B,-0.0342
SET 20,19.61,22.20,23.12,19.25,1.24B,-0.1042
AGO 20,21.89,22.54,23.88,21.25,1.16B,-0.013999999999999999
JUL 20,22.20,21.75,23.60,21.52,1.32B,0.0302
JUN 20,21.55,20.15,23.03,19.54,1.68B,0.059500000000000004
MAI 20,20.34,17.43,20.34,16.72,1.63B,0.12689999999999999
ABR 20,18.05,13.45,18.69,13.32,2.40B,0.2902
MAR 20,13.99,25.50,27.48,10.85,2.90B,-0.44789999999999996
FEV 20,25.34,28.52,30.89,24.62,1.10B,-0.1093
JAN 20,28.45,30.51,31.24,27.67,940.87M,-0.057300000000000004
