DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 19,43.49,39.86,44.06,39.83,346.68M,0.0946
NOV 19,39.73,38.00,40.94,37.33,347.21M,0.058899999999999994
OUT 19,37.52,38.04,38.89,35.15,377.57M,-0.0116
SET 19,37.96,37.00,39.98,36.04,367.13M,0.048
AGO 19,36.22,39.14,39.22,33.74,500.48M,-0.0851
JUL 19,39.59,42.21,43.05,39.12,405.27M,-0.0388
JUN 19,41.19,39.23,42.21,38.04,349.66M,0.0575
MAI 19,38.95,39.17,40.54,36.42,473.34M,-0.0218
ABR 19,39.82,41.61,42.76,39.25,325.85M,-0.0163
MAR 19,40.48,37.59,41.64,35.41,421.03M,0.0812
FEV 19,37.44,36.34,37.96,32.20,509.03M,0.0351
JAN 19,36.17,39.75,44.67,33.67,700.71M,-0.10779999999999999
