DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
JUN 21,102.59,103.94,104.83,93.19,533.96M,0.0060999999999999995
MAI 21,101.97,97.45,107.00,94.19,587.38M,0.0529
ABR 21,96.85,87.50,100.34,85.40,453.24M,0.1128
MAR 21,87.03,81.61,90.55,80.49,672.16M,0.08310000000000001
FEV 21,80.35,76.51,84.11,74.39,550.70M,0.0748
JAN 21,74.76,75.95,87.85,74.63,647.86M,0.005600000000000001
DEZ 20,74.34,67.86,75.30,65.72,604.78M,0.1213
NOV 20,66.30,52.62,67.46,52.04,747.79M,0.28809999999999997
OUT 20,51.47,50.60,54.31,49.32,484.25M,0.024300000000000002
SET 20,50.25,49.19,51.94,47.59,619.34M,0.0318
AGO 20,48.70,50.47,52.12,48.43,710.30M,-0.017
JUL 20,49.54,45.76,51.36,44.10,564.37M,0.0857
JUN 20,45.63,43.10,46.47,42.41,542.44M,0.055
